=== LAYOUT FOR PPR-137.3.pdf ===

--- Page 1 ---
Page size: Width=612, Height=1008

--- Lines ---

--- Rectangles ---
Rect: x0=22.2, y0=126.5, x1=22.7, y1=127.0, width=0.5, height=0.5
Rect: x0=22.2, y0=275.8, x1=22.7, y1=276.3, width=0.5, height=0.5
Rect: x0=22.7, y0=275.8, x1=211.4, y1=276.3, width=188.7, height=0.5
Rect: x0=211.4, y0=275.8, x1=211.9, y1=276.3, width=0.5, height=0.5
Rect: x0=211.8, y0=275.8, x1=263.1, y1=276.3, width=51.2, height=0.5
Rect: x0=263.1, y0=275.8, x1=263.6, y1=276.3, width=0.5, height=0.5
Rect: x0=263.6, y0=275.8, x1=314.8, y1=276.3, width=51.2, height=0.5
Rect: x0=314.8, y0=275.8, x1=315.3, y1=276.3, width=0.5, height=0.5
Rect: x0=315.3, y0=275.8, x1=350.8, y1=276.3, width=35.5, height=0.5
Rect: x0=350.8, y0=275.8, x1=351.3, y1=276.3, width=0.5, height=0.5
Rect: x0=351.3, y0=275.8, x1=418.4, y1=276.3, width=67.1, height=0.5
Rect: x0=418.4, y0=275.8, x1=418.9, y1=276.3, width=0.5, height=0.5
Rect: x0=418.9, y0=275.8, x1=589.4, y1=276.3, width=170.5, height=0.5
Rect: x0=589.4, y0=275.8, x1=589.9, y1=276.3, width=0.5, height=0.5
Rect: x0=22.2, y0=276.3, x1=22.7, y1=386.7, width=0.5, height=110.4
Rect: x0=211.4, y0=276.3, x1=211.9, y1=386.7, width=0.5, height=110.4
Rect: x0=263.1, y0=276.3, x1=263.6, y1=386.7, width=0.5, height=110.4
Rect: x0=314.8, y0=276.3, x1=315.3, y1=386.7, width=0.5, height=110.4
Rect: x0=350.8, y0=276.3, x1=351.3, y1=386.7, width=0.5, height=110.4
Rect: x0=418.4, y0=276.3, x1=418.9, y1=386.7, width=0.5, height=110.4
Rect: x0=589.4, y0=276.3, x1=589.9, y1=386.7, width=0.5, height=110.4
Rect: x0=22.2, y0=386.7, x1=22.7, y1=387.2, width=0.5, height=0.5
Rect: x0=22.7, y0=386.7, x1=211.4, y1=387.2, width=188.7, height=0.5
Rect: x0=211.4, y0=386.7, x1=211.9, y1=387.2, width=0.5, height=0.5
Rect: x0=211.8, y0=386.7, x1=263.1, y1=387.2, width=51.2, height=0.5
Rect: x0=263.1, y0=386.7, x1=263.6, y1=387.2, width=0.5, height=0.5
Rect: x0=263.6, y0=386.7, x1=314.8, y1=387.2, width=51.2, height=0.5
Rect: x0=314.8, y0=386.7, x1=315.3, y1=387.2, width=0.5, height=0.5
Rect: x0=315.3, y0=386.7, x1=350.8, y1=387.2, width=35.5, height=0.5
Rect: x0=350.8, y0=386.7, x1=351.3, y1=387.2, width=0.5, height=0.5
Rect: x0=351.3, y0=386.7, x1=418.4, y1=387.2, width=67.1, height=0.5
Rect: x0=418.4, y0=386.7, x1=418.9, y1=387.2, width=0.5, height=0.5
Rect: x0=418.9, y0=386.7, x1=589.4, y1=387.2, width=170.5, height=0.5
Rect: x0=589.4, y0=386.7, x1=589.9, y1=387.2, width=0.5, height=0.5
Rect: x0=22.2, y0=387.2, x1=22.7, y1=402.8, width=0.5, height=15.6
Rect: x0=211.4, y0=387.2, x1=211.9, y1=402.8, width=0.5, height=15.6
Rect: x0=263.1, y0=387.2, x1=263.6, y1=402.8, width=0.5, height=15.6
Rect: x0=314.8, y0=387.2, x1=315.3, y1=402.8, width=0.5, height=15.6
Rect: x0=350.8, y0=387.2, x1=351.3, y1=402.8, width=0.5, height=15.6
Rect: x0=418.4, y0=387.2, x1=418.9, y1=402.8, width=0.5, height=15.6
Rect: x0=589.4, y0=387.2, x1=589.9, y1=402.8, width=0.5, height=15.6
Rect: x0=22.2, y0=402.8, x1=22.7, y1=403.2, width=0.5, height=0.5
Rect: x0=22.7, y0=402.8, x1=211.4, y1=403.2, width=188.7, height=0.5
Rect: x0=211.4, y0=402.8, x1=211.9, y1=403.2, width=0.5, height=0.5
Rect: x0=211.8, y0=402.8, x1=263.1, y1=403.2, width=51.2, height=0.5
Rect: x0=263.1, y0=402.8, x1=263.6, y1=403.2, width=0.5, height=0.5
Rect: x0=263.6, y0=402.8, x1=314.8, y1=403.2, width=51.2, height=0.5
Rect: x0=314.8, y0=402.8, x1=315.3, y1=403.2, width=0.5, height=0.5
Rect: x0=315.3, y0=402.8, x1=350.8, y1=403.2, width=35.5, height=0.5
Rect: x0=350.8, y0=402.8, x1=351.3, y1=403.2, width=0.5, height=0.5
Rect: x0=351.3, y0=402.8, x1=418.4, y1=403.2, width=67.1, height=0.5
Rect: x0=418.4, y0=402.8, x1=418.9, y1=403.2, width=0.5, height=0.5
Rect: x0=418.9, y0=402.8, x1=589.4, y1=403.2, width=170.5, height=0.5
Rect: x0=589.4, y0=402.8, x1=589.9, y1=403.2, width=0.5, height=0.5
Rect: x0=22.2, y0=403.2, x1=22.7, y1=418.9, width=0.5, height=15.6
Rect: x0=211.4, y0=403.2, x1=211.9, y1=418.9, width=0.5, height=15.6
Rect: x0=263.1, y0=403.2, x1=263.6, y1=418.9, width=0.5, height=15.6
Rect: x0=314.8, y0=403.2, x1=315.3, y1=418.9, width=0.5, height=15.6
Rect: x0=350.8, y0=403.2, x1=351.3, y1=418.9, width=0.5, height=15.6
Rect: x0=418.4, y0=403.2, x1=418.9, y1=418.9, width=0.5, height=15.6
Rect: x0=589.4, y0=403.2, x1=589.9, y1=418.9, width=0.5, height=15.6
Rect: x0=22.2, y0=418.8, x1=22.7, y1=419.3, width=0.5, height=0.5
Rect: x0=22.7, y0=418.8, x1=211.4, y1=419.3, width=188.7, height=0.5
Rect: x0=211.4, y0=418.8, x1=211.9, y1=419.3, width=0.5, height=0.5
Rect: x0=211.8, y0=418.8, x1=263.1, y1=419.3, width=51.2, height=0.5
Rect: x0=263.1, y0=418.8, x1=263.6, y1=419.3, width=0.5, height=0.5
Rect: x0=263.6, y0=418.8, x1=314.8, y1=419.3, width=51.2, height=0.5
Rect: x0=314.8, y0=418.8, x1=315.3, y1=419.3, width=0.5, height=0.5
Rect: x0=315.3, y0=418.8, x1=350.8, y1=419.3, width=35.5, height=0.5
Rect: x0=350.8, y0=418.8, x1=351.3, y1=419.3, width=0.5, height=0.5
Rect: x0=351.3, y0=418.8, x1=418.4, y1=419.3, width=67.1, height=0.5
Rect: x0=418.4, y0=418.8, x1=418.9, y1=419.3, width=0.5, height=0.5
Rect: x0=418.9, y0=418.8, x1=589.4, y1=419.3, width=170.5, height=0.5
Rect: x0=589.4, y0=418.8, x1=589.9, y1=419.3, width=0.5, height=0.5
Rect: x0=22.2, y0=419.3, x1=22.7, y1=434.9, width=0.5, height=15.6
Rect: x0=211.4, y0=419.3, x1=211.9, y1=434.9, width=0.5, height=15.6
Rect: x0=263.1, y0=419.3, x1=263.6, y1=434.9, width=0.5, height=15.6
Rect: x0=314.8, y0=419.3, x1=315.3, y1=434.9, width=0.5, height=15.6
Rect: x0=350.8, y0=419.3, x1=351.3, y1=434.9, width=0.5, height=15.6
Rect: x0=418.4, y0=419.3, x1=418.9, y1=434.9, width=0.5, height=15.6
Rect: x0=589.4, y0=419.3, x1=589.9, y1=434.9, width=0.5, height=15.6
Rect: x0=22.2, y0=434.9, x1=22.7, y1=435.4, width=0.5, height=0.5
Rect: x0=22.7, y0=434.9, x1=211.4, y1=435.4, width=188.7, height=0.5
Rect: x0=211.4, y0=434.9, x1=211.9, y1=435.4, width=0.5, height=0.5
Rect: x0=211.8, y0=434.9, x1=263.1, y1=435.4, width=51.2, height=0.5
Rect: x0=263.1, y0=434.9, x1=263.6, y1=435.4, width=0.5, height=0.5
Rect: x0=263.6, y0=434.9, x1=314.8, y1=435.4, width=51.2, height=0.5
Rect: x0=314.8, y0=434.9, x1=315.3, y1=435.4, width=0.5, height=0.5
Rect: x0=315.3, y0=434.9, x1=350.8, y1=435.4, width=35.5, height=0.5
Rect: x0=350.8, y0=434.9, x1=351.3, y1=435.4, width=0.5, height=0.5
Rect: x0=351.3, y0=434.9, x1=418.4, y1=435.4, width=67.1, height=0.5
Rect: x0=418.4, y0=434.9, x1=418.9, y1=435.4, width=0.5, height=0.5
Rect: x0=418.9, y0=434.9, x1=589.4, y1=435.4, width=170.5, height=0.5
Rect: x0=589.4, y0=434.9, x1=589.9, y1=435.4, width=0.5, height=0.5
Rect: x0=22.2, y0=435.4, x1=22.7, y1=451.0, width=0.5, height=15.6
Rect: x0=211.4, y0=435.4, x1=211.9, y1=451.0, width=0.5, height=15.6
Rect: x0=263.1, y0=435.4, x1=263.6, y1=451.0, width=0.5, height=15.6
Rect: x0=314.8, y0=435.4, x1=315.3, y1=451.0, width=0.5, height=15.6
Rect: x0=350.8, y0=435.4, x1=351.3, y1=451.0, width=0.5, height=15.6
Rect: x0=418.4, y0=435.4, x1=418.9, y1=451.0, width=0.5, height=15.6
Rect: x0=589.4, y0=435.4, x1=589.9, y1=451.0, width=0.5, height=15.6
Rect: x0=22.2, y0=451.0, x1=22.7, y1=451.5, width=0.5, height=0.5
Rect: x0=22.7, y0=451.0, x1=211.4, y1=451.5, width=188.7, height=0.5
Rect: x0=211.4, y0=451.0, x1=211.9, y1=451.5, width=0.5, height=0.5
Rect: x0=211.8, y0=451.0, x1=263.1, y1=451.5, width=51.2, height=0.5
Rect: x0=263.1, y0=451.0, x1=263.6, y1=451.5, width=0.5, height=0.5
Rect: x0=263.6, y0=451.0, x1=314.8, y1=451.5, width=51.2, height=0.5
Rect: x0=314.8, y0=451.0, x1=315.3, y1=451.5, width=0.5, height=0.5
Rect: x0=315.3, y0=451.0, x1=350.8, y1=451.5, width=35.5, height=0.5
Rect: x0=350.8, y0=451.0, x1=351.3, y1=451.5, width=0.5, height=0.5
Rect: x0=351.3, y0=451.0, x1=418.4, y1=451.5, width=67.1, height=0.5
Rect: x0=418.4, y0=451.0, x1=418.9, y1=451.5, width=0.5, height=0.5
Rect: x0=418.9, y0=451.0, x1=589.4, y1=451.5, width=170.5, height=0.5
Rect: x0=589.4, y0=451.0, x1=589.9, y1=451.5, width=0.5, height=0.5
Rect: x0=22.2, y0=451.5, x1=22.7, y1=467.0, width=0.5, height=15.5
Rect: x0=211.4, y0=451.5, x1=211.9, y1=467.0, width=0.5, height=15.5
Rect: x0=263.1, y0=451.5, x1=263.6, y1=467.0, width=0.5, height=15.5
Rect: x0=314.8, y0=451.5, x1=315.3, y1=467.0, width=0.5, height=15.5
Rect: x0=350.8, y0=451.5, x1=351.3, y1=467.0, width=0.5, height=15.5
Rect: x0=418.4, y0=451.5, x1=418.9, y1=467.0, width=0.5, height=15.5
Rect: x0=589.4, y0=451.5, x1=589.9, y1=467.0, width=0.5, height=15.5
Rect: x0=22.2, y0=467.0, x1=22.7, y1=467.5, width=0.5, height=0.5
Rect: x0=22.7, y0=467.0, x1=211.4, y1=467.5, width=188.7, height=0.5
Rect: x0=211.4, y0=467.0, x1=211.9, y1=467.5, width=0.5, height=0.5
Rect: x0=211.8, y0=467.0, x1=263.1, y1=467.5, width=51.2, height=0.5
Rect: x0=263.1, y0=467.0, x1=263.6, y1=467.5, width=0.5, height=0.5
Rect: x0=263.6, y0=467.0, x1=314.8, y1=467.5, width=51.2, height=0.5
Rect: x0=314.8, y0=467.0, x1=315.3, y1=467.5, width=0.5, height=0.5
Rect: x0=315.3, y0=467.0, x1=350.8, y1=467.5, width=35.5, height=0.5
Rect: x0=350.8, y0=467.0, x1=351.3, y1=467.5, width=0.5, height=0.5
Rect: x0=351.3, y0=467.0, x1=418.4, y1=467.5, width=67.1, height=0.5
Rect: x0=418.4, y0=467.0, x1=418.9, y1=467.5, width=0.5, height=0.5
Rect: x0=418.9, y0=467.0, x1=589.4, y1=467.5, width=170.5, height=0.5
Rect: x0=589.4, y0=467.0, x1=589.9, y1=467.5, width=0.5, height=0.5
Rect: x0=22.2, y0=467.4, x1=22.7, y1=483.0, width=0.5, height=15.6
Rect: x0=211.4, y0=467.4, x1=211.9, y1=483.0, width=0.5, height=15.6
Rect: x0=263.1, y0=467.4, x1=263.6, y1=483.0, width=0.5, height=15.6
Rect: x0=314.8, y0=467.4, x1=315.3, y1=483.0, width=0.5, height=15.6
Rect: x0=350.8, y0=467.4, x1=351.3, y1=483.0, width=0.5, height=15.6
Rect: x0=418.4, y0=467.4, x1=418.9, y1=483.0, width=0.5, height=15.6
Rect: x0=589.4, y0=467.4, x1=589.9, y1=483.0, width=0.5, height=15.6
Rect: x0=22.2, y0=483.0, x1=22.7, y1=483.5, width=0.5, height=0.5
Rect: x0=22.7, y0=483.0, x1=211.4, y1=483.5, width=188.7, height=0.5
Rect: x0=211.4, y0=483.0, x1=211.9, y1=483.5, width=0.5, height=0.5
Rect: x0=211.8, y0=483.0, x1=263.1, y1=483.5, width=51.2, height=0.5
Rect: x0=263.1, y0=483.0, x1=263.6, y1=483.5, width=0.5, height=0.5
Rect: x0=263.6, y0=483.0, x1=314.8, y1=483.5, width=51.2, height=0.5
Rect: x0=314.8, y0=483.0, x1=315.3, y1=483.5, width=0.5, height=0.5
Rect: x0=315.3, y0=483.0, x1=350.8, y1=483.5, width=35.5, height=0.5
Rect: x0=350.8, y0=483.0, x1=351.3, y1=483.5, width=0.5, height=0.5
Rect: x0=351.3, y0=483.0, x1=418.4, y1=483.5, width=67.1, height=0.5
Rect: x0=418.4, y0=483.0, x1=418.9, y1=483.5, width=0.5, height=0.5
Rect: x0=418.9, y0=483.0, x1=589.4, y1=483.5, width=170.5, height=0.5
Rect: x0=589.4, y0=483.0, x1=589.9, y1=483.5, width=0.5, height=0.5
Rect: x0=22.2, y0=483.5, x1=22.7, y1=499.1, width=0.5, height=15.6
Rect: x0=211.4, y0=483.5, x1=211.9, y1=499.1, width=0.5, height=15.6
Rect: x0=263.1, y0=483.5, x1=263.6, y1=499.1, width=0.5, height=15.6
Rect: x0=314.8, y0=483.5, x1=315.3, y1=499.1, width=0.5, height=15.6
Rect: x0=350.8, y0=483.5, x1=351.3, y1=499.1, width=0.5, height=15.6
Rect: x0=418.4, y0=483.5, x1=418.9, y1=499.1, width=0.5, height=15.6
Rect: x0=589.4, y0=483.5, x1=589.9, y1=499.1, width=0.5, height=15.6
Rect: x0=22.2, y0=499.1, x1=22.7, y1=499.6, width=0.5, height=0.5
Rect: x0=22.7, y0=499.1, x1=211.4, y1=499.6, width=188.7, height=0.5
Rect: x0=211.4, y0=499.1, x1=211.9, y1=499.6, width=0.5, height=0.5
Rect: x0=211.8, y0=499.1, x1=263.1, y1=499.6, width=51.2, height=0.5
Rect: x0=263.1, y0=499.1, x1=263.6, y1=499.6, width=0.5, height=0.5
Rect: x0=263.6, y0=499.1, x1=314.8, y1=499.6, width=51.2, height=0.5
Rect: x0=314.8, y0=499.1, x1=315.3, y1=499.6, width=0.5, height=0.5
Rect: x0=315.3, y0=499.1, x1=350.8, y1=499.6, width=35.5, height=0.5
Rect: x0=350.8, y0=499.1, x1=351.3, y1=499.6, width=0.5, height=0.5
Rect: x0=351.3, y0=499.1, x1=418.4, y1=499.6, width=67.1, height=0.5
Rect: x0=418.4, y0=499.1, x1=418.9, y1=499.6, width=0.5, height=0.5
Rect: x0=418.9, y0=499.1, x1=589.4, y1=499.6, width=170.5, height=0.5
Rect: x0=589.4, y0=499.1, x1=589.9, y1=499.6, width=0.5, height=0.5
Rect: x0=22.2, y0=499.6, x1=22.7, y1=515.2, width=0.5, height=15.6
Rect: x0=211.4, y0=499.6, x1=211.9, y1=515.2, width=0.5, height=15.6
Rect: x0=263.1, y0=499.6, x1=263.6, y1=515.2, width=0.5, height=15.6
Rect: x0=314.8, y0=499.6, x1=315.3, y1=515.2, width=0.5, height=15.6
Rect: x0=350.8, y0=499.6, x1=351.3, y1=515.2, width=0.5, height=15.6
Rect: x0=418.4, y0=499.6, x1=418.9, y1=515.2, width=0.5, height=15.6
Rect: x0=589.4, y0=499.6, x1=589.9, y1=515.2, width=0.5, height=15.6
Rect: x0=22.2, y0=515.2, x1=22.7, y1=515.7, width=0.5, height=0.5
Rect: x0=22.7, y0=515.2, x1=211.4, y1=515.7, width=188.7, height=0.5
Rect: x0=211.4, y0=515.2, x1=211.9, y1=515.7, width=0.5, height=0.5
Rect: x0=211.8, y0=515.2, x1=263.1, y1=515.7, width=51.2, height=0.5
Rect: x0=263.1, y0=515.2, x1=263.6, y1=515.7, width=0.5, height=0.5
Rect: x0=263.6, y0=515.2, x1=314.8, y1=515.7, width=51.2, height=0.5
Rect: x0=314.8, y0=515.2, x1=315.3, y1=515.7, width=0.5, height=0.5
Rect: x0=315.3, y0=515.2, x1=350.8, y1=515.7, width=35.5, height=0.5
Rect: x0=350.8, y0=515.2, x1=351.3, y1=515.7, width=0.5, height=0.5
Rect: x0=351.3, y0=515.2, x1=418.4, y1=515.7, width=67.1, height=0.5
Rect: x0=418.4, y0=515.2, x1=418.9, y1=515.7, width=0.5, height=0.5
Rect: x0=418.9, y0=515.2, x1=589.4, y1=515.7, width=170.5, height=0.5
Rect: x0=589.4, y0=515.2, x1=589.9, y1=515.7, width=0.5, height=0.5
Rect: x0=22.2, y0=515.7, x1=22.7, y1=531.3, width=0.5, height=15.6
Rect: x0=211.4, y0=515.7, x1=211.9, y1=531.3, width=0.5, height=15.6
Rect: x0=263.1, y0=515.7, x1=263.6, y1=531.3, width=0.5, height=15.6
Rect: x0=314.8, y0=515.7, x1=315.3, y1=531.3, width=0.5, height=15.6
Rect: x0=350.8, y0=515.7, x1=351.3, y1=531.3, width=0.5, height=15.6
Rect: x0=418.4, y0=515.7, x1=418.9, y1=531.3, width=0.5, height=15.6
Rect: x0=589.4, y0=515.7, x1=589.9, y1=531.3, width=0.5, height=15.6
Rect: x0=22.2, y0=531.3, x1=22.7, y1=531.8, width=0.5, height=0.5
Rect: x0=22.7, y0=531.3, x1=211.4, y1=531.8, width=188.7, height=0.5
Rect: x0=211.4, y0=531.3, x1=211.9, y1=531.8, width=0.5, height=0.5
Rect: x0=211.8, y0=531.3, x1=263.1, y1=531.8, width=51.2, height=0.5
Rect: x0=263.1, y0=531.3, x1=263.6, y1=531.8, width=0.5, height=0.5
Rect: x0=263.6, y0=531.3, x1=314.8, y1=531.8, width=51.2, height=0.5
Rect: x0=314.8, y0=531.3, x1=315.3, y1=531.8, width=0.5, height=0.5
Rect: x0=315.3, y0=531.3, x1=350.8, y1=531.8, width=35.5, height=0.5
